,TEAM_NAME,YEAR,WIN_PCT,NBA_FINALS_APPEARANCE,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS
44,Hawks,1993,0.695,N/A,0.461,0.323,0.752,15.24390243902439,29.548780487804876,44.792682926829265,25.073170731707318,19.817073170731707,11.158536585365853,15.268292682926829,5.475609756097561,101.4390243902439
45,Hawks,1994,0.512,N/A,0.447,0.341,0.724,13.463414634146341,27.70731707317073,41.170731707317074,21.426829268292682,22.0,9.0,14.890243902439025,5.024390243902439,96.59756097560975
46,Hawks,1995,0.561,N/A,0.448,0.355,0.757,14.414634146341463,26.195121951219512,40.609756097560975,19.621951219512194,20.902439024390244,9.402439024390244,14.975609756097562,3.8902439024390243,98.28048780487805
47,Hawks,1996,0.683,N/A,0.446,0.359,0.763,12.451219512195122,28.658536585365855,41.109756097560975,18.98780487804878,19.402439024390244,8.548780487804878,14.975609756097562,5.2073170731707314,94.8048780487805
48,Hawks,1997,0.61,N/A,0.455,0.332,0.756,13.487804878048781,29.475609756097562,42.96341463414634,19.134146341463413,20.378048780487806,7.963414634146342,14.804878048780488,5.987804878048781,95.85365853658537
49,Hawks,1998,0.62,N/A,0.409,0.306,0.731,13.52,29.98,43.5,15.64,19.74,6.92,14.9,5.2,86.3
50,Hawks,1999,0.341,N/A,0.441,0.317,0.743,13.975609756097562,31.341463414634145,45.31707317073171,18.878048780487806,20.951219512195124,6.097560975609756,15.439024390243903,5.621951219512195,94.32926829268293
51,Hawks,2000,0.305,N/A,0.431,0.357,0.759,12.536585365853659,30.365853658536587,42.90243902439025,19.01219512195122,22.71951219512195,7.7317073170731705,16.682926829268293,4.719512195121951,90.96341463414635
52,Hawks,2001,0.402,N/A,0.439,0.354,0.765,11.646341463414634,29.817073170731707,41.46341463414634,20.195121951219512,20.75609756097561,8.134146341463415,15.548780487804878,4.2682926829268295,94.03658536585365
53,Hawks,2002,0.427,N/A,0.444,0.352,0.793,11.426829268292684,31.195121951219512,42.6219512195122,20.475609756097562,21.74390243902439,7.451219512195122,16.670731707317074,5.7682926829268295,94.07317073170732
54,Hawks,2003,0.341,N/A,0.433,0.335,0.776,12.146341463414634,30.573170731707318,42.71951219512195,20.097560975609756,22.26829268292683,7.646341463414634,16.463414634146343,4.975609756097561,92.8170731707317
55,Hawks,2004,0.159,N/A,0.441,0.312,0.711,13.414634146341463,28.475609756097562,41.890243902439025,19.682926829268293,24.5,7.670731707317073,16.085365853658537,4.195121951219512,92.7439024390244
56,Hawks,2005,0.317,N/A,0.454,0.367,0.75,13.036585365853659,27.21951219512195,40.25609756097561,19.817073170731707,25.048780487804876,7.158536585365853,15.658536585365853,4.804878048780488,97.21951219512195
57,Hawks,2006,0.366,N/A,0.444,0.329,0.761,11.902439024390244,28.195121951219512,40.09756097560975,19.182926829268293,24.024390243902438,7.426829268292683,15.926829268292684,5.439024390243903,93.65853658536585
